"blinded_filename","culture_code","day","field_id","original_filename","original_relative_path","original_path","original_passage","include_reason"
"CultureA_day4_01.tif","CultureA","4","01","EXP_path1_passage4_401.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_401.tif","path1","4","standard_exp_frame"
"CultureA_day4_02.tif","CultureA","4","02","EXP_path1_passage4_402.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_402.tif","path1","4","standard_exp_frame"
"CultureA_day4_03.tif","CultureA","4","03","EXP_path1_passage4_403.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_403.tif","path1","4","standard_exp_frame"
"CultureA_day4_04.tif","CultureA","4","04","EXP_path1_passage4_404.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_404.tif","path1","4","standard_exp_frame"
"CultureA_day4_05.tif","CultureA","4","05","EXP_path1_passage4_405.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_405.tif","path1","4","standard_exp_frame"
"CultureA_day4_06.tif","CultureA","4","06","EXP_path1_passage4_406.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_406.tif","path1","4","standard_exp_frame"
"CultureA_day4_07.tif","CultureA","4","07","EXP_path1_passage4_407.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_407.tif","path1","4","standard_exp_frame"
"CultureA_day4_08.tif","CultureA","4","08","EXP_path1_passage4_408.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_408.tif","path1","4","standard_exp_frame"
"CultureA_day4_09.tif","CultureA","4","09","EXP_path1_passage4_409.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_409.tif","path1","4","standard_exp_frame"
"CultureA_day4_10.tif","CultureA","4","10","EXP_path1_passage4_410.tif","Vero cells EXP P4 path 1 day 4\EXP_path1_passage4_410.tif","path1","4","standard_exp_frame"
"CultureA_day5_01.tif","CultureA","5","01","EXP_path1_passage4_501.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_501.tif","path1","4","standard_exp_frame"
"CultureA_day5_02.tif","CultureA","5","02","EXP_path1_passage4_502.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_502.tif","path1","4","standard_exp_frame"
"CultureA_day5_03.tif","CultureA","5","03","EXP_path1_passage4_503.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_503.tif","path1","4","standard_exp_frame"
"CultureA_day5_04.tif","CultureA","5","04","EXP_path1_passage4_504.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_504.tif","path1","4","standard_exp_frame"
"CultureA_day5_05.tif","CultureA","5","05","EXP_path1_passage4_505.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_505.tif","path1","4","standard_exp_frame"
"CultureA_day5_06.tif","CultureA","5","06","EXP_path1_passage4_506.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_506.tif","path1","4","standard_exp_frame"
"CultureA_day5_07.tif","CultureA","5","07","EXP_path1_passage4_507.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_507.tif","path1","4","standard_exp_frame"
"CultureA_day5_08.tif","CultureA","5","08","EXP_path1_passage4_508.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_508.tif","path1","4","standard_exp_frame"
"CultureA_day5_09.tif","CultureA","5","09","EXP_path1_passage4_509.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_509.tif","path1","4","standard_exp_frame"
"CultureA_day5_10.tif","CultureA","5","10","EXP_path1_passage4_510.tif","Vero cells EXP P4 path 1 day 5\EXP_path1_passage4_510.tif","path1","4","standard_exp_frame"
"CultureB_day1_01.tif","CultureB","1","01","EXP_path2_passage4_101.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_101.tif","path2","4","standard_exp_frame"
"CultureB_day1_02.tif","CultureB","1","02","EXP_path2_passage4_102.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_102.tif","path2","4","standard_exp_frame"
"CultureB_day1_03.tif","CultureB","1","03","EXP_path2_passage4_103.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_103.tif","path2","4","standard_exp_frame"
"CultureB_day1_04.tif","CultureB","1","04","EXP_path2_passage4_104.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_104.tif","path2","4","standard_exp_frame"
"CultureB_day1_05.tif","CultureB","1","05","EXP_path2_passage4_105.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_105.tif","path2","4","standard_exp_frame"
"CultureB_day1_06.tif","CultureB","1","06","EXP_path2_passage4_106.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_106.tif","path2","4","standard_exp_frame"
"CultureB_day1_07.tif","CultureB","1","07","EXP_path2_passage4_107.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_107.tif","path2","4","standard_exp_frame"
"CultureB_day1_08.tif","CultureB","1","08","EXP_path2_passage4_108.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_108.tif","path2","4","standard_exp_frame"
"CultureB_day1_09.tif","CultureB","1","09","EXP_path2_passage4_109.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_109.tif","path2","4","standard_exp_frame"
"CultureB_day1_10.tif","CultureB","1","10","EXP_path2_passage4_110.tif","Vero Cells EXP P4 path 2 day 1\EXP_path2_passage4_110.tif","path2","4","standard_exp_frame"
"CultureB_day2_01.tif","CultureB","2","01","EXP_path2_passage4_201.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_201.tif","path2","4","standard_exp_frame"
"CultureB_day2_02.tif","CultureB","2","02","EXP_path2_passage4_202.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_202.tif","path2","4","standard_exp_frame"
"CultureB_day2_03.tif","CultureB","2","03","EXP_path2_passage4_203.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_203.tif","path2","4","standard_exp_frame"
"CultureB_day2_04.tif","CultureB","2","04","EXP_path2_passage4_204.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_204.tif","path2","4","standard_exp_frame"
"CultureB_day2_05.tif","CultureB","2","05","EXP_path2_passage4_205.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_205.tif","path2","4","standard_exp_frame"
"CultureB_day2_06.tif","CultureB","2","06","EXP_path2_passage4_206.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_206.tif","path2","4","standard_exp_frame"
"CultureB_day2_07.tif","CultureB","2","07","EXP_path2_passage4_207.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_207.tif","path2","4","standard_exp_frame"
"CultureB_day2_08.tif","CultureB","2","08","EXP_path2_passage4_208.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_208.tif","path2","4","standard_exp_frame"
"CultureB_day2_09.tif","CultureB","2","09","EXP_path2_passage4_209.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_209.tif","path2","4","standard_exp_frame"
"CultureB_day2_10.tif","CultureB","2","10","EXP_path2_passage4_210.tif","Vero cells EXP P4 path 2 day 2\EXP_path2_passage4_210.tif","path2","4","standard_exp_frame"
"CultureB_day3_01.tif","CultureB","3","01","EXP_path2_passage4_301a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_301a.tif","path2","4","path2_day3_recapture_a_set_preferred"
"CultureB_day3_02.tif","CultureB","3","02","EXP_path2_passage4_302a.tif","Vero cells EXP P4 path 2 Day 3\Vero path 2 day 3 retry\EXP_path2_passage4_302a.tif","path2","4","path2_day3_recapture_a_set_preferred"
"CultureB_day3_03.tif","CultureB","3","03","EXP_path2_passage4_303.tif","Vero cells EXP P4 path 2 Day 3\EXP_path2_passage4_303.tif","path2","4","cro_cpe_detections_exact_original"
